BRIAN SETZER,WHEN THE SKY COMES TUMBLING DOWN,https://music.youtube.com/search?q=BRIAN+SETZER+WHEN+THE+SKY+COMES+TUMBLING+DOWN
CREEPS,YOU'LL LOVE MORE EVERYDAY,https://music.youtube.com/search?q=CREEPS+YOU%27LL+LOVE+MORE+EVERYDAY
OLA & THE JANGLERS,LET'S DANCE (JOKER),https://music.youtube.com/search?q=OLA+%26+THE+JANGLERS+LET%27S+DANCE+%28JOKER%29
CROWDED HOUSE,BETTER BE HOME SOON,https://music.youtube.com/search?q=CROWDED+HOUSE+BETTER+BE+HOME+SOON
MORY KANTE,YÉ KÉ YÉ KÉ,https://music.youtube.com/search?q=MORY+KANTE+Y%C3%89+K%C3%89+Y%C3%89+K%C3%89
BIG DEAL,SVENSKA SOMMAR,https://music.youtube.com/search?q=BIG+DEAL+SVENSKA+SOMMAR
MEN THEY COULDN'T HANG,THE CREST,https://music.youtube.com/search?q=MEN+THEY+COULDN%27T+HANG+THE+CREST
ELDKVARN,MIN BRUD,https://music.youtube.com/search?q=ELDKVARN+MIN+BRUD
EUROPE,SUPERSTITIOUS,https://music.youtube.com/search?q=EUROPE+SUPERSTITIOUS
TANITA TIKARAM,GOOD TRADITION,https://music.youtube.com/search?q=TANITA+TIKARAM+GOOD+TRADITION
PASSAGERARNA,SÄG MIG VAD DU VILL,https://music.youtube.com/search?q=PASSAGERARNA+S%C3%84G+MIG+VAD+DU+VILL
SATOR,OH MAMA,https://music.youtube.com/search?q=SATOR+OH+MAMA
LITTLE RIVER BAND,LOVE'S A BRIDGE,https://music.youtube.com/search?q=LITTLE+RIVER+BAND+LOVE%27S+A+BRIDGE
KATE BUSH,WUTHERING HEIGHTS (JOKER),https://music.youtube.com/search?q=KATE+BUSH+WUTHERING+HEIGHTS+%28JOKER%29
TRANSVISION VAMP,I WANT YOUR LOVE,https://music.youtube.com/search?q=TRANSVISION+VAMP+I+WANT+YOUR+LOVE
JOHN FARNHAM,AGE OF REASON,https://music.youtube.com/search?q=JOHN+FARNHAM+AGE+OF+REASON
VISITORS,MELODY,https://music.youtube.com/search?q=VISITORS+MELODY
ESCAPE CLUB,WILD WILD WEST,https://music.youtube.com/search?q=ESCAPE+CLUB+WILD+WILD+WEST
CENNETH ALMGREN,ELDAR,https://music.youtube.com/search?q=CENNETH+ALMGREN+ELDAR
MANFRED MANN,MIGHTY QUINN (JOKER),https://music.youtube.com/search?q=MANFRED+MANN+MIGHTY+QUINN+%28JOKER%29
YAZZ & THE PLASTIC POPULATION,THE ONLY WAY IS UP,https://music.youtube.com/search?q=YAZZ+%26+THE+PLASTIC+POPULATION+THE+ONLY+WAY+IS+UP
TREAT,BEST OF ME,https://music.youtube.com/search?q=TREAT+BEST+OF+ME
EVERYTHING BUT THE GIRL,I DON'T WANT TO TALK ABOUT IT,https://music.youtube.com/search?q=EVERYTHING+BUT+THE+GIRL+I+DON%27T+WANT+TO+TALK+ABOUT+IT
ABBA,SUMMERNIGHT CITY (JOKER),https://music.youtube.com/search?q=ABBA+SUMMERNIGHT+CITY+%28JOKER%29
FACE TO FACE,AS FOREVER AS YOU,https://music.youtube.com/search?q=FACE+TO+FACE+AS+FOREVER+AS+YOU
BUBBI MARTHENS,MOON IN THE GUTTER,https://music.youtube.com/search?q=BUBBI+MARTHENS+MOON+IN+THE+GUTTER
ORUP,REGN HOS MIG,https://music.youtube.com/search?q=ORUP+REGN+HOS+MIG
SANNE SALOMONSEN,HVIS DU FØRSTOD,https://music.youtube.com/search?q=SANNE+SALOMONSEN+HVIS+DU+F%C3%98RSTOD
PAUL McCARTNEY,THIS ONE,https://music.youtube.com/search?q=PAUL+McCARTNEY+THIS+ONE
LOLITA POP,TARZAN ON A BIG RED SCOOTER,https://music.youtube.com/search?q=LOLITA+POP+TARZAN+ON+A+BIG+RED+SCOOTER
ELECTRIC BOYS,ELECTRIFIED,https://music.youtube.com/search?q=ELECTRIC+BOYS+ELECTRIFIED
JOHN COUGAR MELLENCAMP,TO LIVE,https://music.youtube.com/search?q=JOHN+COUGAR+MELLENCAMP+TO+LIVE
NEW KIDS ON THE BLOCK,I'LL BE LOVING YOU (FOREVER),https://music.youtube.com/search?q=NEW+KIDS+ON+THE+BLOCK+I%27LL+BE+LOVING+YOU+%28FOREVER%29
JACKSONS,NOTHIN' (THAT COMPARES 2 U),https://music.youtube.com/search?q=JACKSONS+NOTHIN%27+%28THAT+COMPARES+2+U%29
SOUL II SOUL featuring CARON WHEELER,BACK TO LIFE (HOWEVER DO YOU WANT ME),https://music.youtube.com/search?q=SOUL+II+SOUL+featuring+CARON+WHEELER+BACK+TO+LIFE+%28HOWEVER+DO+YOU+WANT+ME%29
EVA HILLERED,HUNGER,https://music.youtube.com/search?q=EVA+HILLERED+HUNGER
ROB'N'RAZ presenting LEILA K,GOT TO GET,https://music.youtube.com/search?q=ROB%27N%27RAZ+presenting+LEILA+K+GOT+TO+GET
DE LA SOUL,ME MYSELF AND I,https://music.youtube.com/search?q=DE+LA+SOUL+ME+MYSELF+AND+I
OLA MAGNELL,OPPORTUNISTEN,https://music.youtube.com/search?q=OLA+MAGNELL+OPPORTUNISTEN
ELEANOR BODEL,JAG ÖNSKAR ATT DET ALLTID VORE SOMMAR (JOKER),https://music.youtube.com/search?q=ELEANOR+BODEL+JAG+%C3%96NSKAR+ATT+DET+ALLTID+VORE+SOMMAR+%28JOKER%29
JULIAN LENNON,OPEN YOUR EYES,https://music.youtube.com/search?q=JULIAN+LENNON+OPEN+YOUR+EYES
PIXIES,HERE COMES YOUR MAN,https://music.youtube.com/search?q=PIXIES+HERE+COMES+YOUR+MAN
YVONNE NORMAN,ZUM ZUM ZUM LILLA SOMMARBI (JOKER),https://music.youtube.com/search?q=YVONNE+NORMAN+ZUM+ZUM+ZUM+LILLA+SOMMARBI+%28JOKER%29
JERRY WILLIAMS & SUZZIE TAPPER,I WANT TO KNOW,https://music.youtube.com/search?q=JERRY+WILLIAMS+%26+SUZZIE+TAPPER+I+WANT+TO+KNOW
TEXAS,THRILL HAS GONE,https://music.youtube.com/search?q=TEXAS+THRILL+HAS+GONE
TOM PETTY,RUNNING DOWN A DREAM,https://music.youtube.com/search?q=TOM+PETTY+RUNNING+DOWN+A+DREAM
LL COOL J,I'M THAT TYPE OF GUY,https://music.youtube.com/search?q=LL+COOL+J+I%27M+THAT+TYPE+OF+GUY
PASSAGERARNA,ÄVENTYR,https://music.youtube.com/search?q=PASSAGERARNA+%C3%84VENTYR
MAVIS STAPLES,20TH CENTURY EXPRESS,https://music.youtube.com/search?q=MAVIS+STAPLES+20TH+CENTURY+EXPRESS
D-MOB,IT IS TIME TO GET FUNKY,https://music.youtube.com/search?q=D-MOB+IT+IS+TIME+TO+GET+FUNKY
DI LEVA,OM DU VORE HÄR NU,https://music.youtube.com/search?q=DI+LEVA+OM+DU+VORE+H%C3%84R+NU
MARIE BERGMAN,LIVETS RYTTARE,https://music.youtube.com/search?q=MARIE+BERGMAN+LIVETS+RYTTARE
OWE THÖRNQVIST,TORSTEN PÅ SKORSTEN (JOKER),https://music.youtube.com/search?q=OWE+TH%C3%96RNQVIST+TORSTEN+P%C3%85+SKORSTEN+%28JOKER%29
WHITE LION,LITTLE FIGHTER,https://music.youtube.com/search?q=WHITE+LION+LITTLE+FIGHTER
MARTIN LJUNG,ROCK-FNYKIS (JOKER),https://music.youtube.com/search?q=MARTIN+LJUNG+ROCK-FNYKIS+%28JOKER%29
JAKOB HELLMAN,DU ÄR ALLT JAG VILL HA,https://music.youtube.com/search?q=JAKOB+HELLMAN+DU+%C3%84R+ALLT+JAG+VILL+HA
INNER CITY,AIN'T NOBODY BETTER,https://music.youtube.com/search?q=INNER+CITY+AIN%27T+NOBODY+BETTER
JACKSON BROWNE,WORLD IN MOTION,https://music.youtube.com/search?q=JACKSON+BROWNE+WORLD+IN+MOTION
